期权代码,交易代码,期权简称,标的代码,类型,认购/认沽,行权方式,行权价,合约单位,到期月份,上市日,到期日,行权日,行权交收日,上市首日参考价,结算方式,交易状态
10000257,510050C1507M02700,50ETF购2015年7月2.70,510050.SH,ETF期权,认购,欧式,2.700,10000,2015-07,2015-06-29,2015-07-22,2015-07-22,2015-07-23,0.1920,实物资产,退市
10000258,510050P1507M02600,50ETF沽2015年7月2.60,510050.SH,ETF期权,认沽,欧式,2.600,10000,2015-07,2015-06-29,2015-07-22,2015-07-22,2015-07-23,0.1128,实物资产,退市
10000259,510050P1507M02650,50ETF沽2015年7月2.65,510050.SH,ETF期权,认沽,欧式,2.650,10000,2015-07,2015-06-29,2015-07-22,2015-07-22,2015-07-23,0.1357,实物资产,退市
10000260,510050P1507M02700,50ETF沽2015年7月2.70,510050.SH,ETF期权,认沽,欧式,2.700,10000,2015-07,2015-06-29,2015-07-22,2015-07-22,2015-07-23,0.1612,实物资产,退市
10000261,510050C1508M02600,50ETF购2015年8月2.60,510050.SH,ETF期权,认购,欧式,2.600,10000,2015-08,2015-06-29,2015-08-26,2015-08-26,2015-08-27,0.3121,实物资产,退市
10000262,510050C1508M02650,50ETF购2015年8月2.65,510050.SH,ETF期权,认购,欧式,2.650,10000,2015-08,2015-06-29,2015-08-26,2015-08-26,2015-08-27,0.2873,实物资产,退市
10000263,510050C1508M02700,50ETF购2015年8月2.70,510050.SH,ETF期权,认购,欧式,2.700,10000,2015-08,2015-06-29,2015-08-26,2015-08-26,2015-08-27,0.2641,实物资产,退市
10000264,510050C1508M02750,50ETF购2015年8月2.75,510050.SH,ETF期权,认购,欧式,2.750,10000,2015-08,2015-06-29,2015-08-26,2015-08-26,2015-08-27,0.2423,实物资产,退市
10000265,510050P1508M02600,50ETF沽2015年8月2.60,510050.SH,ETF期权,认沽,欧式,2.600,10000,2015-08,2015-06-29,2015-08-26,2015-08-26,2015-08-27,0.1551,实物资产,退市
10000266,510050P1508M02650,50ETF沽2015年8月2.65,510050.SH,ETF期权,认沽,欧式,2.650,10000,2015-08,2015-06-29,2015-08-26,2015-08-26,2015-08-27,0.1788,实物资产,退市
10000267,510050P1508M02700,50ETF沽2015年8月2.70,510050.SH,ETF期权,认沽,欧式,2.700,10000,2015-08,2015-06-29,2015-08-26,2015-08-26,2015-08-27,0.2045,实物资产,退市
10000268,510050P1508M02750,50ETF沽2015年8月2.75,510050.SH,ETF期权,认沽,欧式,2.750,10000,2015-08,2015-06-29,2015-08-26,2015-08-26,2015-08-27,0.2321,实物资产,退市
10000269,510050C1512M02600,50ETF购2015年12月2.60,510050.SH,ETF期权,认购,欧式,2.600,10000,2015-12,2015-06-29,2015-12-23,2015-12-23,2015-12-24,0.4303,实物资产,退市
10000270,510050C1512M02650,50ETF购2015年12月2.65,510050.SH,ETF期权,认购,欧式,2.650,10000,2015-12,2015-06-29,2015-12-23,2015-12-23,2015-12-24,0.4068,实物资产,退市
10000271,510050C1512M02700,50ETF购2015年12月2.70,510050.SH,ETF期权,认购,欧式,2.700,10000,2015-12,2015-06-29,2015-12-23,2015-12-23,2015-12-24,0.3843,实物资产,退市
10000272,510050P1512M02600,50ETF沽2015年12月2.60,510050.SH,ETF期权,认沽,欧式,2.600,10000,2015-12,2015-06-29,2015-12-23,2015-12-23,2015-12-24,0.2461,实物资产,退市
10000273,510050P1512M02650,50ETF沽2015年12月2.65,510050.SH,ETF期权,认沽,欧式,2.650,10000,2015-12,2015-06-29,2015-12-23,2015-12-23,2015-12-24,0.2708,实物资产,退市
10000274,510050P1512M02700,50ETF沽2015年12月2.70,510050.SH,ETF期权,认沽,欧式,2.700,10000,2015-12,2015-06-29,2015-12-23,2015-12-23,2015-12-24,0.2968,实物资产,退市
10000275,510050C1507M02550,50ETF购2015年7月2.55,510050.SH,ETF期权,认购,欧式,2.550,10000,2015-07,2015-06-30,2015-07-22,2015-07-22,2015-07-23,0.2738,实物资产,退市
10000276,510050P1507M02550,50ETF沽2015年7月2.55,510050.SH,ETF期权,认沽,欧式,2.550,10000,2015-07,2015-06-30,2015-07-22,2015-07-22,2015-07-23,0.1430,实物资产,退市
10000277,510050C1508M02550,50ETF购2015年8月2.55,510050.SH,ETF期权,认购,欧式,2.550,10000,2015-08,2015-06-30,2015-08-26,2015-08-26,2015-08-27,0.3450,实物资产,退市
10000278,510050P1508M02550,50ETF沽2015年8月2.55,510050.SH,ETF期权,认沽,欧式,2.550,10000,2015-08,2015-06-30,2015-08-26,2015-08-26,2015-08-27,0.1743,实物资产,退市
10000279,510050C1512M02550,50ETF购2015年12月2.55,510050.SH,ETF期权,认购,欧式,2.550,10000,2015-12,2015-06-30,2015-12-23,2015-12-23,2015-12-24,0.4427,实物资产,退市
10000280,510050P1512M02550,50ETF沽2015年12月2.55,510050.SH,ETF期权,认沽,欧式,2.550,10000,2015-12,2015-06-30,2015-12-23,2015-12-23,2015-12-24,0.2326,实物资产,退市
10000281,510050C1507M02500,50ETF购2015年7月2.50,510050.SH,ETF期权,认购,欧式,2.500,10000,2015-07,2015-07-06,2015-07-22,2015-07-22,2015-07-23,0.2166,实物资产,退市
10000282,510050P1507M02500,50ETF沽2015年7月2.50,510050.SH,ETF期权,认沽,欧式,2.500,10000,2015-07,2015-07-06,2015-07-22,2015-07-22,2015-07-23,0.0972,实物资产,退市
10000283,510050C1508M02500,50ETF购2015年8月2.50,510050.SH,ETF期权,认购,欧式,2.500,10000,2015-08,2015-07-06,2015-08-26,2015-08-26,2015-08-27,0.3208,实物资产,退市
10000284,510050P1508M02500,50ETF沽2015年8月2.50,510050.SH,ETF期权,认沽,欧式,2.500,10000,2015-08,2015-07-06,2015-08-26,2015-08-26,2015-08-27,0.1770,实物资产,退市
10000285,510050C1512M02500,50ETF购2015年12月2.50,510050.SH,ETF期权,认购,欧式,2.500,10000,2015-12,2015-07-06,2015-12-23,2015-12-23,2015-12-24,0.4315,实物资产,退市
10000286,510050P1512M02500,50ETF沽2015年12月2.50,510050.SH,ETF期权,认沽,欧式,2.500,10000,2015-12,2015-07-06,2015-12-23,2015-12-23,2015-12-24,0.2371,实物资产,退市
10000287,510050C1603M02650,50ETF购2016年3月2.65,510050.SH,ETF期权,认购,欧式,2.650,10000,2016-03,2015-07-23,2016-03-23,2016-03-23,2016-03-24,0.3296,实物资产,退市
10000288,510050C1603M02700,50ETF购2016年3月2.70,510050.SH,ETF期权,认购,欧式,2.700,10000,2016-03,2015-07-23,2016-03-23,2016-03-23,2016-03-24,0.3124,实物资产,退市
10000289,510050C1603M02750,50ETF购2016年3月2.75,510050.SH,ETF期权,认购,欧式,2.750,10000,2016-03,2015-07-23,2016-03-23,2016-03-23,2016-03-24,0.2800,实物资产,退市
10000290,510050C1603M02800,50ETF购2016年3月2.80,510050.SH,ETF期权,认购,欧式,2.800,10000,2016-03,2015-07-23,2016-03-23,2016-03-23,2016-03-24,0.2778,实物资产,退市
10000291,510050C1603M02850,50ETF购2016年3月2.85,510050.SH,ETF期权,认购,欧式,2.850,10000,2016-03,2015-07-23,2016-03-23,2016-03-23,2016-03-24,0.2645,实物资产,退市
10000292,510050P1603M02650,50ETF沽2016年3月2.65,510050.SH,ETF期权,认沽,欧式,2.650,10000,2016-03,2015-07-23,2016-03-23,2016-03-23,2016-03-24,0.3306,实物资产,退市
10000293,510050P1603M02700,50ETF沽2016年3月2.70,510050.SH,ETF期权,认沽,欧式,2.700,10000,2016-03,2015-07-23,2016-03-23,2016-03-23,2016-03-24,0.3530,实物资产,退市
10000294,510050P1603M02750,50ETF沽2016年3月2.75,510050.SH,ETF期权,认沽,欧式,2.750,10000,2016-03,2015-07-23,2016-03-23,2016-03-23,2016-03-24,0.3860,实物资产,退市
10000295,510050P1603M02800,50ETF沽2016年3月2.80,510050.SH,ETF期权,认沽,欧式,2.800,10000,2016-03,2015-07-23,2016-03-23,2016-03-23,2016-03-24,0.4166,实物资产,退市
10000296,510050P1603M02850,50ETF沽2016年3月2.85,510050.SH,ETF期权,认沽,欧式,2.850,10000,2016-03,2015-07-23,2016-03-23,2016-03-23,2016-03-24,0.4568,实物资产,退市
10000297,510050C1603M02900,50ETF购2016年3月2.90,510050.SH,ETF期权,认购,欧式,2.900,10000,2016-03,2015-07-24,2016-03-23,2016-03-23,2016-03-24,0.2584,实物资产,退市
10000298,510050P1603M02900,50ETF沽2016年3月2.90,510050.SH,ETF期权,认沽,欧式,2.900,10000,2016-03,2015-07-24,2016-03-23,2016-03-23,2016-03-24,0.4127,实物资产,退市
10000299,510050C1508M02400,50ETF购2015年8月2.40,510050.SH,ETF期权,认购,欧式,2.400,10000,2015-08,2015-07-28,2015-08-26,2015-08-26,2015-08-27,0.1423,实物资产,退市
10000300,510050C1508M02450,50ETF购2015年8月2.45,510050.SH,ETF期权,认购,欧式,2.450,10000,2015-08,2015-07-28,2015-08-26,2015-08-26,2015-08-27,0.1110,实物资产,退市
10000301,510050P1508M02400,50ETF沽2015年8月2.40,510050.SH,ETF期权,认沽,欧式,2.400,10000,2015-08,2015-07-28,2015-08-26,2015-08-26,2015-08-27,0.0768,实物资产,退市
10000302,510050P1508M02450,50ETF沽2015年8月2.45,510050.SH,ETF期权,认沽,欧式,2.450,10000,2015-08,2015-07-28,2015-08-26,2015-08-26,2015-08-27,0.0980,实物资产,退市
10000303,510050C1512M02400,50ETF购2015年12月2.40,510050.SH,ETF期权,认购,欧式,2.400,10000,2015-12,2015-07-28,2015-12-23,2015-12-23,2015-12-24,0.2767,实物资产,退市
10000304,510050C1512M02450,50ETF购2015年12月2.45,510050.SH,ETF期权,认购,欧式,2.450,10000,2015-12,2015-07-28,2015-12-23,2015-12-23,2015-12-24,0.2503,实物资产,退市
10000305,510050P1512M02400,50ETF沽2015年12月2.40,510050.SH,ETF期权,认沽,欧式,2.400,10000,2015-12,2015-07-28,2015-12-23,2015-12-23,2015-12-24,0.1939,实物资产,退市
10000306,510050P1512M02450,50ETF沽2015年12月2.45,510050.SH,ETF期权,认沽,欧式,2.450,10000,2015-12,2015-07-28,2015-12-23,2015-12-23,2015-12-24,0.2180,实物资产,退市
10000307,510050C1603M02400,50ETF购2016年3月2.40,510050.SH,ETF期权,认购,欧式,2.400,10000,2016-03,2015-07-28,2016-03-23,2016-03-23,2016-03-24,0.3568,实物资产,退市
10000308,510050C1603M02450,50ETF购2016年3月2.45,510050.SH,ETF期权,认购,欧式,2.450,10000,2016-03,2015-07-28,2016-03-23,2016-03-23,2016-03-24,0.3317,实物资产,退市
10000309,510050C1603M02500,50ETF购2016年3月2.50,510050.SH,ETF期权,认购,欧式,2.500,10000,2016-03,2015-07-28,2016-03-23,2016-03-23,2016-03-24,0.3080,实物资产,退市
10000310,510050C1603M02550,50ETF购2016年3月2.55,510050.SH,ETF期权,认购,欧式,2.550,10000,2016-03,2015-07-28,2016-03-23,2016-03-23,2016-03-24,0.2857,实物资产,退市
10000311,510050C1603M02600,50ETF购2016年3月2.60,510050.SH,ETF期权,认购,欧式,2.600,10000,2016-03,2015-07-28,2016-03-23,2016-03-23,2016-03-24,0.2646,实物资产,退市
10000312,510050P1603M02400,50ETF沽2016年3月2.40,510050.SH,ETF期权,认沽,欧式,2.400,10000,2016-03,2015-07-28,2016-03-23,2016-03-23,2016-03-24,0.2212,实物资产,退市
10000313,510050P1603M02450,50ETF沽2016年3月2.45,510050.SH,ETF期权,认沽,欧式,2.450,10000,2016-03,2015-07-28,2016-03-23,2016-03-23,2016-03-24,0.2452,实物资产,退市
10000314,510050P1603M02500,50ETF沽2016年3月2.50,510050.SH,ETF期权,认沽,欧式,2.500,10000,2016-03,2015-07-28,2016-03-23,2016-03-23,2016-03-24,0.2706,实物资产,退市
10000315,510050P1603M02550,50ETF沽2016年3月2.55,510050.SH,ETF期权,认沽,欧式,2.550,10000,2016-03,2015-07-28,2016-03-23,2016-03-23,2016-03-24,0.2973,实物资产,退市
10000316,510050P1603M02600,50ETF沽2016年3月2.60,510050.SH,ETF期权,认沽,欧式,2.600,10000,2016-03,2015-07-28,2016-03-23,2016-03-23,2016-03-24,0.3252,实物资产,退市
10000317,510050C1508M02350,50ETF购2015年8月2.35,510050.SH,ETF期权,认购,欧式,2.350,10000,2015-08,2015-07-31,2015-08-26,2015-08-26,2015-08-27,0.1402,实物资产,退市
10000318,510050P1508M02350,50ETF沽2015年8月2.35,510050.SH,ETF期权,认沽,欧式,2.350,10000,2015-08,2015-07-31,2015-08-26,2015-08-26,2015-08-27,0.0929,实物资产,退市
10000319,510050C1512M02350,50ETF购2015年12月2.35,510050.SH,ETF期权,认购,欧式,2.350,10000,2015-12,2015-07-31,2015-12-23,2015-12-23,2015-12-24,0.2820,实物资产,退市
10000320,510050P1512M02350,50ETF沽2015年12月2.35,510050.SH,ETF期权,认沽,欧式,2.350,10000,2015-12,2015-07-31,2015-12-23,2015-12-23,2015-12-24,0.1896,实物资产,退市
10000321,510050C1603M02350,50ETF购2016年3月2.35,510050.SH,ETF期权,认购,欧式,2.350,10000,2016-03,2015-07-31,2016-03-23,2016-03-23,2016-03-24,0.3865,实物资产,退市
10000322,510050P1603M02350,50ETF沽2016年3月2.35,510050.SH,ETF期权,认沽,欧式,2.350,10000,2016-03,2015-07-31,2016-03-23,2016-03-23,2016-03-24,0.2486,实物资产,退市
10000323,510050C1508M02300,50ETF购2015年8月2.30,510050.SH,ETF期权,认购,欧式,2.300,10000,2015-08,2015-08-19,2015-08-26,2015-08-26,2015-08-27,0.1194,实物资产,退市
10000324,510050P1508M02300,50ETF沽2015年8月2.30,510050.SH,ETF期权,认沽,欧式,2.300,10000,2015-08,2015-08-19,2015-08-26,2015-08-26,2015-08-27,0.0284,实物资产,退市
10000325,510050C1512M02300,50ETF购2015年12月2.30,510050.SH,ETF期权,认购,欧式,2.300,10000,2015-12,2015-08-19,2015-12-23,2015-12-23,2015-12-24,0.1883,实物资产,退市
10000326,510050P1512M02300,50ETF沽2015年12月2.30,510050.SH,ETF期权,认沽,欧式,2.300,10000,2015-12,2015-08-19,2015-12-23,2015-12-23,2015-12-24,0.1711,实物资产,退市
10000327,510050C1603M02300,50ETF购2016年3月2.30,510050.SH,ETF期权,认购,欧式,2.300,10000,2016-03,2015-08-19,2016-03-23,2016-03-23,2016-03-24,0.2795,实物资产,退市
10000328,510050P1603M02300,50ETF沽2016年3月2.30,510050.SH,ETF期权,认沽,欧式,2.300,10000,2016-03,2015-08-19,2016-03-23,2016-03-23,2016-03-24,0.2210,实物资产,退市
10000329,510050C1508M02250,50ETF购2015年8月2.25,510050.SH,ETF期权,认购,欧式,2.250,10000,2015-08,2015-08-21,2015-08-26,2015-08-26,2015-08-27,0.1156,实物资产,退市
10000330,510050P1508M02250,50ETF沽2015年8月2.25,510050.SH,ETF期权,认沽,欧式,2.250,10000,2015-08,2015-08-21,2015-08-26,2015-08-26,2015-08-27,0.0070,实物资产,退市
10000331,510050C1512M02250,50ETF购2015年12月2.25,510050.SH,ETF期权,认购,欧式,2.250,10000,2015-12,2015-08-21,2015-12-23,2015-12-23,2015-12-24,0.2158,实物资产,退市
10000332,510050P1512M02250,50ETF沽2015年12月2.25,510050.SH,ETF期权,认沽,欧式,2.250,10000,2015-12,2015-08-21,2015-12-23,2015-12-23,2015-12-24,0.1721,实物资产,退市
10000333,510050C1603M02250,50ETF购2016年3月2.25,510050.SH,ETF期权,认购,欧式,2.250,10000,2016-03,2015-08-21,2016-03-23,2016-03-23,2016-03-24,0.2582,实物资产,退市
10000334,510050P1603M02250,50ETF沽2016年3月2.25,510050.SH,ETF期权,认沽,欧式,2.250,10000,2016-03,2015-08-21,2016-03-23,2016-03-23,2016-03-24,0.2056,实物资产,退市
10000335,510050C1508M02150,50ETF购2015年8月2.15,510050.SH,ETF期权,认购,欧式,2.150,10000,2015-08,2015-08-24,2015-08-26,2015-08-26,2015-08-27,0.1267,实物资产,退市
10000336,510050C1508M02200,50ETF购2015年8月2.20,510050.SH,ETF期权,认购,欧式,2.200,10000,2015-08,2015-08-24,2015-08-26,2015-08-26,2015-08-27,0.0820,实物资产,退市
10000337,510050P1508M02150,50ETF沽2015年8月2.15,510050.SH,ETF期权,认沽,欧式,2.150,10000,2015-08,2015-08-24,2015-08-26,2015-08-26,2015-08-27,0.0172,实物资产,退市
10000338,510050P1508M02200,50ETF沽2015年8月2.20,510050.SH,ETF期权,认沽,欧式,2.200,10000,2015-08,2015-08-24,2015-08-26,2015-08-26,2015-08-27,0.0305,实物资产,退市
10000339,510050C1509M02150,50ETF购2015年9月2.15,510050.SH,ETF期权,认购,欧式,2.150,10000,2015-09,2015-08-24,2015-09-23,2015-09-23,2015-09-24,0.1547,实物资产,退市
10000340,510050P1509M02150,50ETF沽2015年9月2.15,510050.SH,ETF期权,认沽,欧式,2.150,10000,2015-09,2015-08-24,2015-09-23,2015-09-23,2015-09-24,0.0684,实物资产,退市
10000341,510050C1512M02150,50ETF购2015年12月2.15,510050.SH,ETF期权,认购,欧式,2.150,10000,2015-12,2015-08-24,2015-12-23,2015-12-23,2015-12-24,0.2166,实物资产,退市
10000342,510050C1512M02200,50ETF购2015年12月2.20,510050.SH,ETF期权,认购,欧式,2.200,10000,2015-12,2015-08-24,2015-12-23,2015-12-23,2015-12-24,0.1859,实物资产,退市
10000343,510050P1512M02150,50ETF沽2015年12月2.15,510050.SH,ETF期权,认沽,欧式,2.150,10000,2015-12,2015-08-24,2015-12-23,2015-12-23,2015-12-24,0.1611,实物资产,退市
10000344,510050P1512M02200,50ETF沽2015年12月2.20,510050.SH,ETF期权,认沽,欧式,2.200,10000,2015-12,2015-08-24,2015-12-23,2015-12-23,2015-12-24,0.1841,实物资产,退市
10000345,510050C1603M02150,50ETF购2016年3月2.15,510050.SH,ETF期权,认购,欧式,2.150,10000,2016-03,2015-08-24,2016-03-23,2016-03-23,2016-03-24,0.2700,实物资产,退市
10000346,510050C1603M02200,50ETF购2016年3月2.20,510050.SH,ETF期权,认购,欧式,2.200,10000,2016-03,2015-08-24,2016-03-23,2016-03-23,2016-03-24,0.2411,实物资产,退市
10000347,510050P1603M02150,50ETF沽2016年3月2.15,510050.SH,ETF期权,认沽,欧式,2.150,10000,2016-03,2015-08-24,2016-03-23,2016-03-23,2016-03-24,0.1952,实物资产,退市
10000348,510050P1603M02200,50ETF沽2016年3月2.20,510050.SH,ETF期权,认沽,欧式,2.200,10000,2016-03,2015-08-24,2016-03-23,2016-03-23,2016-03-24,0.2186,实物资产,退市
10000349,510050C1508M01950,50ETF购2015年8月1.95,510050.SH,ETF期权,认购,欧式,1.950,10000,2015-08,2015-08-25,2015-08-26,2015-08-26,2015-08-27,0.1109,实物资产,退市
10000350,510050C1508M02000,50ETF购2015年8月2.00,510050.SH,ETF期权,认购,欧式,2.000,10000,2015-08,2015-08-25,2015-08-26,2015-08-26,2015-08-27,0.0750,实物资产,退市
10000351,510050C1508M02050,50ETF购2015年8月2.05,510050.SH,ETF期权,认购,欧式,2.050,10000,2015-08,2015-08-25,2015-08-26,2015-08-26,2015-08-27,0.0469,实物资产,退市
10000352,510050C1508M02100,50ETF购2015年8月2.10,510050.SH,ETF期权,认购,欧式,2.100,10000,2015-08,2015-08-25,2015-08-26,2015-08-26,2015-08-27,0.0269,实物资产,退市
10000353,510050P1508M01950,50ETF沽2015年8月1.95,510050.SH,ETF期权,认沽,欧式,1.950,10000,2015-08,2015-08-25,2015-08-26,2015-08-26,2015-08-27,0.1033,实物资产,退市
10000354,510050P1508M02000,50ETF沽2015年8月2.00,510050.SH,ETF期权,认沽,欧式,2.000,10000,2015-08,2015-08-25,2015-08-26,2015-08-26,2015-08-27,0.1263,实物资产,退市
10000355,510050P1508M02050,50ETF沽2015年8月2.05,510050.SH,ETF期权,认沽,欧式,2.050,10000,2015-08,2015-08-25,2015-08-26,2015-08-26,2015-08-27,0.1519,实物资产,退市
10000356,510050P1508M02100,50ETF沽2015年8月2.10,510050.SH,ETF期权,认沽,欧式,2.100,10000,2015-08,2015-08-25,2015-08-26,2015-08-26,2015-08-27,0.1802,实物资产,退市
10000357,510050C1509M01950,50ETF购2015年9月1.95,510050.SH,ETF期权,认购,欧式,1.950,10000,2015-09,2015-08-25,2015-09-23,2015-09-23,2015-09-24,0.1829,实物资产,退市
10000358,510050C1509M02000,50ETF购2015年9月2.00,510050.SH,ETF期权,认购,欧式,2.000,10000,2015-09,2015-08-25,2015-09-23,2015-09-23,2015-09-24,0.1547,实物资产,退市
10000359,510050C1509M02050,50ETF购2015年9月2.05,510050.SH,ETF期权,认购,欧式,2.050,10000,2015-09,2015-08-25,2015-09-23,2015-09-23,2015-09-24,0.1296,实物资产,退市
10000360,510050C1509M02100,50ETF购2015年9月2.10,510050.SH,ETF期权,认购,欧式,2.100,10000,2015-09,2015-08-25,2015-09-23,2015-09-23,2015-09-24,0.1076,实物资产,退市
10000361,510050P1509M01950,50ETF沽2015年9月1.95,510050.SH,ETF期权,认沽,欧式,1.950,10000,2015-09,2015-08-25,2015-09-23,2015-09-23,2015-09-24,0.1558,实物资产,退市
10000362,510050P1509M02000,50ETF沽2015年9月2.00,510050.SH,ETF期权,认沽,欧式,2.000,10000,2015-09,2015-08-25,2015-09-23,2015-09-23,2015-09-24,0.1803,实物资产,退市
10000363,510050P1509M02050,50ETF沽2015年9月2.05,510050.SH,ETF期权,认沽,欧式,2.050,10000,2015-09,2015-08-25,2015-09-23,2015-09-23,2015-09-24,0.2067,实物资产,退市
10000364,510050P1509M02100,50ETF沽2015年9月2.10,510050.SH,ETF期权,认沽,欧式,2.100,10000,2015-09,2015-08-25,2015-09-23,2015-09-23,2015-09-24,0.2350,实物资产,退市
10000365,510050C1512M01950,50ETF购2015年12月1.95,510050.SH,ETF期权,认购,欧式,1.950,10000,2015-12,2015-08-25,2015-12-23,2015-12-23,2015-12-24,0.2202,实物资产,退市
10000366,510050C1512M02000,50ETF购2015年12月2.00,510050.SH,ETF期权,认购,欧式,2.000,10000,2015-12,2015-08-25,2015-12-23,2015-12-23,2015-12-24,0.1926,实物资产,退市
10000367,510050C1512M02050,50ETF购2015年12月2.05,510050.SH,ETF期权,认购,欧式,2.050,10000,2015-12,2015-08-25,2015-12-23,2015-12-23,2015-12-24,0.1675,实物资产,退市
10000368,510050C1512M02100,50ETF购2015年12月2.10,510050.SH,ETF期权,认购,欧式,2.100,10000,2015-12,2015-08-25,2015-12-23,2015-12-23,2015-12-24,0.1449,实物资产,退市
10000369,510050P1512M01950,50ETF沽2015年12月1.95,510050.SH,ETF期权,认沽,欧式,1.950,10000,2015-12,2015-08-25,2015-12-23,2015-12-23,2015-12-24,0.2204,实物资产,退市
10000370,510050P1512M02000,50ETF沽2015年12月2.00,510050.SH,ETF期权,认沽,欧式,2.000,10000,2015-12,2015-08-25,2015-12-23,2015-12-23,2015-12-24,0.2459,实物资产,退市
10000371,510050P1512M02050,50ETF沽2015年12月2.05,510050.SH,ETF期权,认沽,欧式,2.050,10000,2015-12,2015-08-25,2015-12-23,2015-12-23,2015-12-24,0.2728,实物资产,退市
10000372,510050P1512M02100,50ETF沽2015年12月2.10,510050.SH,ETF期权,认沽,欧式,2.100,10000,2015-12,2015-08-25,2015-12-23,2015-12-23,2015-12-24,0.3010,实物资产,退市
10000373,510050C1603M01950,50ETF购2016年3月1.95,510050.SH,ETF期权,认购,欧式,1.950,10000,2016-03,2015-08-25,2016-03-23,2016-03-23,2016-03-24,0.2603,实物资产,退市
10000374,510050C1603M02000,50ETF购2016年3月2.00,510050.SH,ETF期权,认购,欧式,2.000,10000,2016-03,2015-08-25,2016-03-23,2016-03-23,2016-03-24,0.2334,实物资产,退市
10000375,510050C1603M02050,50ETF购2016年3月2.05,510050.SH,ETF期权,认购,欧式,2.050,10000,2016-03,2015-08-25,2016-03-23,2016-03-23,2016-03-24,0.2086,实物资产,退市
10000376,510050C1603M02100,50ETF购2016年3月2.10,510050.SH,ETF期权,认购,欧式,2.100,10000,2016-03,2015-08-25,2016-03-23,2016-03-23,2016-03-24,0.1858,实物资产,退市
10000377,510050P1603M01950,50ETF沽2016年3月1.95,510050.SH,ETF期权,认沽,欧式,1.950,10000,2016-03,2015-08-25,2016-03-23,2016-03-23,2016-03-24,0.2289,实物资产,退市
10000378,510050P1603M02000,50ETF沽2016年3月2.00,510050.SH,ETF期权,认沽,欧式,2.000,10000,2016-03,2015-08-25,2016-03-23,2016-03-23,2016-03-24,0.2541,实物资产,退市
10000379,510050P1603M02050,50ETF沽2016年3月2.05,510050.SH,ETF期权,认沽,欧式,2.050,10000,2016-03,2015-08-25,2016-03-23,2016-03-23,2016-03-24,0.2806,实物资产,退市
10000380,510050P1603M02100,50ETF沽2016年3月2.10,510050.SH,ETF期权,认沽,欧式,2.100,10000,2016-03,2015-08-25,2016-03-23,2016-03-23,2016-03-24,0.3084,实物资产,退市
10000381,510050C1508M01800,50ETF购2015年8月1.80,510050.SH,ETF期权,认购,欧式,1.800,10000,2015-08,2015-08-26,2015-08-26,2015-08-26,2015-08-27,0.0991,实物资产,退市
10000382,510050C1508M01850,50ETF购2015年8月1.85,510050.SH,ETF期权,认购,欧式,1.850,10000,2015-08,2015-08-26,2015-08-26,2015-08-26,2015-08-27,0.0640,实物资产,退市
10000383,510050C1508M01900,50ETF购2015年8月1.90,510050.SH,ETF期权,认购,欧式,1.900,10000,2015-08,2015-08-26,2015-08-26,2015-08-26,2015-08-27,0.0376,实物资产,退市
10000384,510050P1508M01800,50ETF沽2015年8月1.80,510050.SH,ETF期权,认沽,欧式,1.800,10000,2015-08,2015-08-26,2015-08-26,2015-08-26,2015-08-27,0.0269,实物资产,退市
10000385,510050P1508M01850,50ETF沽2015年8月1.85,510050.SH,ETF期权,认沽,欧式,1.850,10000,2015-08,2015-08-26,2015-08-26,2015-08-26,2015-08-27,0.0449,实物资产,退市
10000386,510050P1508M01900,50ETF沽2015年8月1.90,510050.SH,ETF期权,认沽,欧式,1.900,10000,2015-08,2015-08-26,2015-08-26,2015-08-26,2015-08-27,0.0693,实物资产,退市
10000387,510050C1509M01800,50ETF购2015年9月1.80,510050.SH,ETF期权,认购,欧式,1.800,10000,2015-09,2015-08-26,2015-09-23,2015-09-23,2015-09-24,0.1900,实物资产,退市
10000388,510050C1509M01850,50ETF购2015年9月1.85,510050.SH,ETF期权,认购,欧式,1.850,10000,2015-09,2015-08-26,2015-09-23,2015-09-23,2015-09-24,0.1633,实物资产,退市
10000389,510050C1509M01900,50ETF购2015年9月1.90,510050.SH,ETF期权,认购,欧式,1.900,10000,2015-09,2015-08-26,2015-09-23,2015-09-23,2015-09-24,0.1393,实物资产,退市
10000390,510050P1509M01800,50ETF沽2015年9月1.80,510050.SH,ETF期权,认沽,欧式,1.800,10000,2015-09,2015-08-26,2015-09-23,2015-09-23,2015-09-24,0.1713,实物资产,退市
10000391,510050P1509M01850,50ETF沽2015年9月1.85,510050.SH,ETF期权,认沽,欧式,1.850,10000,2015-09,2015-08-26,2015-09-23,2015-09-23,2015-09-24,0.1967,实物资产,退市
10000392,510050P1509M01900,50ETF沽2015年9月1.90,510050.SH,ETF期权,认沽,欧式,1.900,10000,2015-09,2015-08-26,2015-09-23,2015-09-23,2015-09-24,0.2239,实物资产,退市
10000393,510050C1512M01800,50ETF购2015年12月1.80,510050.SH,ETF期权,认购,欧式,1.800,10000,2015-12,2015-08-26,2015-12-23,2015-12-23,2015-12-24,0.2329,实物资产,退市
10000394,510050C1512M01850,50ETF购2015年12月1.85,510050.SH,ETF期权,认购,欧式,1.850,10000,2015-12,2015-08-26,2015-12-23,2015-12-23,2015-12-24,0.2069,实物资产,退市
10000395,510050C1512M01900,50ETF购2015年12月1.90,510050.SH,ETF期权,认购,欧式,1.900,10000,2015-12,2015-08-26,2015-12-23,2015-12-23,2015-12-24,0.1831,实物资产,退市
