datetime,opt_type,short_opt_code,short_opt_volume,short_opt_price,short_opt_delta,long_opt_code,long_opt_volume,long_opt_price,long_opt_delta,profit_spread,money_ocupied,expected_return
2015-02-10 11:02:00,Call,10000001,10,0.2077,0.7077,10000005,14,0.085,0.4984,427.3136,58132.0,0.0074
2015-02-10 11:03:00,Call,10000001,10,0.207,0.705,10000004,13,0.1078,0.5482,509.1251,60246.0,0.0085
2015-02-10 11:05:00,Call,10000001,10,0.2012,0.6966,10000005,14,0.0793,0.4855,719.0946,57334.0,0.0125
2015-02-10 11:06:00,Call,10000001,10,0.2015,0.6975,10000005,14,0.0793,0.4866,736.2494,57334.0,0.0128
2015-02-10 11:07:00,Call,10000001,10,0.2015,0.6985,10000005,14,0.0793,0.4877,723.4942,57334.0,0.0126
2015-02-10 11:08:00,Call,10000001,10,0.2012,0.6975,10000005,14,0.0793,0.4866,705.7051,57334.0,0.0123
2015-02-10 11:09:00,Call,10000001,10,0.2019,0.7031,10000005,14,0.0793,0.493,701.9258,57334.0,0.0122
2015-02-10 11:10:00,Call,10000001,10,0.2076,0.7013,10000005,14,0.0809,0.4909,1071.7723,57558.0,0.0186
2015-02-10 11:11:00,Call,10000001,10,0.2076,0.7013,10000005,14,0.0809,0.4909,1071.494,57558.0,0.0186
2015-02-10 11:13:00,Call,10000001,10,0.2024,0.6994,10000005,14,0.0805,0.4887,631.453,57502.0,0.011
2015-02-10 11:14:00,Call,10000001,10,0.205,0.7041,10000004,13,0.1049,0.5472,689.5925,59869.0,0.0115
2015-02-10 11:15:00,Call,10000001,10,0.205,0.7032,10000004,13,0.1049,0.5461,695.5596,59869.0,0.0116
2015-02-10 11:16:00,Call,10000001,10,0.205,0.7004,10000004,13,0.1049,0.5429,714.4287,59869.0,0.0119
2015-02-10 11:22:00,Call,10000001,10,0.1997,0.6948,10000003,12,0.1279,0.5901,698.3308,61580.0,0.0113
2015-02-10 11:23:00,Call,10000001,10,0.2008,0.6976,10000005,14,0.0786,0.4865,759.6206,57236.0,0.0133
2015-02-10 11:24:00,Call,10000001,10,0.2049,0.7051,10000002,11,0.1643,0.6542,573.6186,64305.0,0.0089
2015-02-10 11:25:00,Call,10000001,10,0.208,0.7032,10000005,14,0.0816,0.493,985.4237,57656.0,0.0171
2015-02-10 11:26:00,Call,10000001,10,0.2085,0.7079,10000005,14,0.0816,0.4983,976.3852,57656.0,0.0169
2015-02-10 11:27:00,Call,10000001,10,0.21,0.706,10000005,14,0.0833,0.4962,911.3116,57894.0,0.0157
2015-02-10 13:00:00,Call,10000001,10,0.2083,0.7042,10000004,13,0.1069,0.5471,755.7364,60129.0,0.0126
2015-02-10 13:01:00,Call,10000001,10,0.2083,0.706,10000002,11,0.1645,0.6552,891.0346,64327.0,0.0139
2015-02-10 13:02:00,Call,10000001,10,0.2082,0.7042,10000004,13,0.1055,0.5471,927.2541,59947.0,0.0155
2015-02-10 13:03:00,Call,10000001,10,0.2082,0.7033,10000004,13,0.1055,0.5461,933.238,59947.0,0.0156
